,0,1
1,-122.8425920009613,8
2,-202.49749422073364,9
3,-274.4361939430237,9
4,-363.5442850589752,13
5,-437.2730860710144,14
6,-503.69123005867004,14
7,-587.4934391975403,17
8,-653.0416181087494,17
9,-716.5486900806427,17
10,-778.6490700244904,17
11,-838.0423920154572,17
12,-904.7913689613342,17
13,-963.617269039154,17
14,-1029.152549982071,17
15,-1096.8998291492462,19
16,-1156.9335839748383,19
17,-1220.8028919696808,19
18,-1285.1500759124756,19
19,-1372.2934839725494,22
20,-1461.4840159416199,22
21,-1535.7249701023102,22
22,-1632.8113420009613,23
23,-1718.9290409088135,23
24,-1794.6920819282532,23
25,-1879.0626831054688,23
26,-1938.2409570217133,25
27,-2007.7913010120392,25
28,-2067.361577987671,28
29,-2114.749962091446,28
30,-2186.452143907547,31
