,0,1,2
0,com.wsi.android.weather.ui.MasterActivity,2,2
1,com.wsi.android.weather.ui.MasterActivity,2,0
2,com.wsi.android.weather.ui.MasterActivity,10,0
3,com.wsi.android.weather.ui.MasterActivity,12,1
4,com.wsi.android.weather.ui.MasterActivity,5,1
5,com.wsi.android.weather.ui.MasterActivity,18,0
6,com.wsi.android.weather.ui.MasterActivity,1,0
7,com.wsi.android.weather.ui.MasterActivity,3,0
8,com.wsi.android.weather.ui.MasterActivity,8,8
9,com.wsi.android.weather.ui.MasterActivity,8,0
10,com.wsi.android.weather.ui.MasterActivity,11,1
11,.Settings$LocationSettingsActivity,2,0
12,com.wsi.android.weather.ui.MasterActivity,10,1
13,com.wsi.android.weather.ui.MasterActivity,9,0
14,com.wsi.android.weather.ui.MasterActivity,11,0
15,com.wsi.android.weather.ui.MasterActivity,15,0
16,com.wsi.android.weather.ui.MasterActivity,13,0
17,com.wsi.android.weather.ui.MasterActivity,0,0
18,com.wsi.android.weather.ui.MasterActivity,14,0
19,com.wsi.android.weather.ui.MasterActivity,12,0
20,com.wsi.android.weather.ui.MasterActivity,14,1
21,com.wsi.android.weather.ui.MasterActivity,17,0
22,com.android.camera.VideoCamera,11,0
23,com.wsi.android.weather.ui.MasterActivity,9,2
24,com.wsi.android.weather.ui.MasterActivity,4,1
25,com.wsi.android.weather.ui.MasterActivity,9,9
26,com.wsi.android.weather.ui.MasterActivity,16,0
27,com.wsi.android.weather.ui.MasterActivity,22,0
28,com.wsi.android.weather.ui.MasterActivity,21,0
29,com.wsi.android.weather.ui.MasterActivity,30,0
30,com.wsi.android.weather.ui.MasterActivity,29,0
31,com.wsi.android.weather.ui.MasterActivity,28,0
