,0,1,2
0,com.realtime.weather.forecast.weather.activities.SettingActivity,9,9
1,com.realtime.weather.forecast.weather.activities.SettingActivity,9,0
2,com.realtime.weather.forecast.weather.activities.SettingActivity,13,0
3,com.realtime.weather.forecast.weather.activities.SettingActivity,12,0
4,com.realtime.weather.forecast.weather.activities.SettingActivity,14,0
5,com.realtime.weather.forecast.weather.MainActivity,9,0
6,com.realtime.weather.forecast.weather.MainActivity,14,0
7,com.realtime.weather.forecast.weather.MainActivity,18,0
8,com.realtime.weather.forecast.weather.MainActivity,14,14
9,com.realtime.weather.forecast.weather.MainActivity,13,13
10,com.realtime.weather.forecast.weather.MainActivity,13,0
11,com.realtime.weather.forecast.weather.MainActivity,15,0
12,com.realtime.weather.forecast.weather.MainActivity,19,0
13,com.realtime.weather.forecast.weather.MainActivity,17,0
14,com.realtime.weather.forecast.weather.MainActivity,24,0
15,.HwChooserActivity,24,0
16,com.realtime.weather.forecast.weather.MainActivity,12,2
17,com.realtime.weather.forecast.weather.activities.SettingActivity,24,0
18,com.realtime.weather.forecast.weather.activities.SettingActivity,8,0
19,com.realtime.weather.forecast.weather.MainActivity,25,0
20,.ComposeActivityGmailExternal,25,0
21,.ComposeActivityGmailExternal,12,2
22,com.realtime.weather.forecast.weather.MainActivity,0,0
23,com.realtime.weather.forecast.weather.activities.MyLocationActivity,15,0
24,com.realtime.weather.forecast.weather.activities.MyLocationActivity,3,0
25,com.realtime.weather.forecast.weather.activities.MyLocationActivity,13,0
26,com.realtime.weather.forecast.weather.activities.SearchLocationActivity,3,0
27,com.realtime.weather.forecast.weather.activities.SearchLocationActivity,1,1
28,com.realtime.weather.forecast.weather.MainActivity,5,5
29,com.realtime.weather.forecast.weather.activities.MyLocationActivity,5,0
30,com.realtime.weather.forecast.weather.activities.MyLocationActivity,1,1
